Beat1,Beat2,Correlation
0532,0621,0.9996124102113715
1032,0614,0.9993537954407926
0131,0431,0.9990902835231457
1824,1531,0.9988889496210731
2234,1432,0.9987547250186496
1711,1812,0.9985228343644289
1622,0334,0.9983356823895232
0913,0815,0.9982374146636833
0913,1215,0.9980582128951084
1214,0423,0.997943380730636
2211,0815,0.9977967316271653
1612,1733,0.9977616037610701
2512,0223,0.9976333682583626
0823,2013,0.9974776484604312
2423,2525,0.9974450647812865
2211,0913,0.997300193147836
2411,0414,0.9972201940115631
2513,0114,0.9969903729942396
0432,1111,0.9968194812563329
1221,1413,0.996627632275851
2411,1522,0.9966135518303942
2024,2412,0.9964738843153781
1125,0211,0.996181059963155
1621,1012,0.9961458971664925
1823,0633,0.9957910885958408
1532,0713,0.9956665168621568
0331,0911,0.9954584720297935
1631,0223,0.9953933449578575
1811,0223,0.9953005583177607
1115,1135,0.9951366523133945
1225,0623,0.9950873989669009
0834,1933,0.9950865650021379
0224,2411,0.995026859303177
0712,0411,0.9949135895701104
0713,1223,0.9947986292528085
0313,0933,0.9947286700167484
0812,2213,0.9946550531005321
0634,0324,0.9946383894864056
1121,0833,0.9944853016381829
1912,1531,0.9944587867111991
1723,0835,0.9943156181217342
0911,0531,0.9942948109604636
0915,0333,0.9940745257933729
1413,2024,0.9940080510235603
1613,0231,0.9939662392440153
0123,1422,0.9939437023530382
0414,0224,0.9937791705342489
0614,0331,0.9937161361525062
2233,1121,0.9936584265941223
1832,0233,0.9935895563173743
0815,1215,0.9935367889342567
1115,0724,0.993466150384168
0735,0831,0.9934586501535291
1911,0431,0.9934513781490771
0921,0935,0.9934207699953503
2512,1811,0.9933041898634576
2422,0413,0.9932264732677617
1811,1631,0.9931868178760991
2533,0211,0.993089811293996
2013,0713,0.9930370889002923
1834,1633,0.9929176112010308
0815,0434,0.9925955572354451
0932,0935,0.992516988775049
1112,0321,0.9925126139762861
0913,0633,0.9924664004248361
0214,1731,0.9923715321043383
0222,2011,0.9923268895943697
1215,2211,0.9922683505773044
0423,0621,0.9921967323036728
2535,0314,0.9921389264201925
0232,1412,0.9921094515140612
0633,0815,0.9920989242432353
1513,0621,0.9919619435880428
1912,1824,0.9917248850408258
0623,0234,0.9917079762625123
0621,1214,0.9916456947978928
1921,2511,0.9916380645037397
1511,0934,0.991444258791793
0633,2211,0.9914415056049546
0131,1911,0.9914301198940981
2513,1432,0.9913862329166372
0711,2515,0.9912591941599923
1411,1623,0.9912102070221114
0234,1921,0.9910420044287729
1934,0631,0.9910270483416233
0313,1135,0.9910189519750112
2024,1731,0.9909765150855862
0911,0614,0.9909761797373743
1223,1532,0.9909009527639895
1911,0724,0.9908622509937753
0811,0934,0.9908086768815335
0624,2513,0.9907697343811864
0813,2534,0.9907603290167254
0222,1823,0.990730344674269
0122,1034,0.9906905646150516
1813,1613,0.9906741979159016
0133,0122,0.9905893470143087
1923,1125,0.9905725039254755
1623,1014,0.9904062435819931
1914,2512,0.9903932166456556
0824,0725,0.9903816698637036
1612,0421,0.9902377311321547
1654,0832,0.990225128742312
0833,2233,0.990144732757098
1113,0734,0.9901389521580157
2212,0921,0.9901018574638669
0331,1032,0.9900840650768673
1214,0532,0.9900215885840448
0224,1522,0.9899763475245386
1513,0423,0.9899677659589707
1522,1713,0.9898836989377182
1011,1533,0.9898811136223438
0124,1632,0.9897526048538215
2512,1631,0.9896875880971517
0235,1711,0.9895267714816444
1931,0621,0.9895185672192347
1232,0915,0.98948653780654
2524,1834,0.9894547039713653
0631,0214,0.9893922706706991
1013,1931,0.9893544114641245
0932,0921,0.9892824452717743
2412,1413,0.9892080821827001
0423,0532,0.9892049179122815
0914,0122,0.9891272810239436
0622,1812,0.9891069440285113
1931,0532,0.9890728944901322
1914,1811,0.989068328105379
0612,0221,0.9890152217048329
0913,0434,0.9890137690465202
0911,1032,0.9890077927174605
2515,1121,0.9889656141033134
0132,1434,0.9889651732760119
